Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,44.290001,44.290001,44.290001,44.290001,37.642723,0
2020-04-07,44.240002,44.240002,44.240002,44.240002,37.600227,0
2020-04-08,45.520000,45.520000,45.520000,45.520000,38.688118,0
2020-04-09,45.939999,45.939999,45.939999,45.939999,39.045082,0
2020-04-13,46.009998,46.009998,46.009998,46.009998,39.104576,0
2020-04-14,47.490002,47.490002,47.490002,47.490002,40.362450,0
2020-04-15,47.090000,47.090000,47.090000,47.090000,40.022484,0
2020-04-16,47.689999,47.689999,47.689999,47.689999,40.532433,0
2020-04-17,48.619999,48.619999,48.619999,48.619999,41.322853,0
2020-04-20,48.189999,48.189999,48.189999,48.189999,40.957390,0
2020-04-21,46.720001,46.720001,46.720001,46.720001,39.708019,0
2020-04-22,47.840000,47.840000,47.840000,47.840000,40.659920,0
2020-04-23,47.959999,47.959999,47.959999,47.959999,40.761909,0
2020-04-24,48.490002,48.490002,48.490002,48.490002,41.212364,0
2020-04-27,48.970001,48.970001,48.970001,48.970001,41.620323,0
2020-04-28,48.279999,48.279999,48.279999,48.279999,41.033882,0
2020-04-29,49.660000,49.660000,49.660000,49.660000,42.206764,0
2020-04-30,49.610001,49.610001,49.610001,49.610001,42.164268,0
2020-05-01,48.349998,48.349998,48.349998,48.349998,41.093376,0
2020-05-04,48.919998,48.919998,48.919998,48.919998,41.577827,0
2020-05-05,49.430000,49.430000,49.430000,49.430000,42.011284,0
2020-05-06,49.439999,49.439999,49.439999,49.439999,42.019783,0
2020-05-07,50.130001,50.130001,50.130001,50.130001,42.606228,0
2020-05-08,50.669998,50.669998,50.669998,50.669998,43.065174,0
2020-05-11,50.939999,50.939999,50.939999,50.939999,43.294655,0
2020-05-12,50.040001,50.040001,50.040001,50.040001,42.529732,0
2020-05-13,49.389999,49.389999,49.389999,49.389999,41.977287,0
2020-05-14,49.810001,49.810001,49.810001,49.810001,42.334255,0
2020-05-15,50.279999,50.279999,50.279999,50.279999,42.733711,0
2020-05-18,51.290001,51.290001,51.290001,51.290001,43.592125,0
2020-05-19,51.130001,51.130001,51.130001,51.130001,43.456142,0
2020-05-20,51.990002,51.990002,51.990002,51.990002,44.187069,0
2020-05-21,51.660000,51.660000,51.660000,51.660000,43.906597,0
2020-05-22,51.799999,51.799999,51.799999,51.799999,44.025581,0
2020-05-26,51.910000,51.910000,51.910000,51.910000,44.119076,0
2020-05-27,52.340000,52.340000,52.340000,52.340000,44.484539,0
2020-05-28,52.240002,52.240002,52.240002,52.240002,44.399548,0
2020-05-29,52.779999,52.779999,52.779999,52.779999,44.858498,0
2020-06-01,53.240002,53.240002,53.240002,53.240002,45.249462,0
2020-06-02,53.580002,53.580002,53.580002,53.580002,45.538433,0
2020-06-03,53.950001,53.950001,53.950001,53.950001,45.852898,0
2020-06-04,53.450001,53.450001,53.450001,53.450001,45.427944,0
2020-06-05,54.470001,54.470001,54.470001,54.470001,46.294857,0
2020-06-08,54.930000,54.930000,54.930000,54.930000,46.685818,0
2020-06-09,54.880001,54.880001,54.880001,54.880001,46.643322,0
2020-06-10,55.049999,55.049999,55.049999,55.049999,46.787804,0
2020-06-11,52.310001,52.310001,52.310001,52.310001,44.459042,0
2020-06-12,52.810001,52.810001,52.810001,52.810001,44.883999,0
2020-06-15,53.400002,53.400002,53.400002,53.400002,45.385448,0
2020-06-16,54.250000,54.250000,54.250000,54.250000,46.107876,0
2020-06-17,54.419998,54.419998,54.419998,54.419998,46.252357,0
2020-06-18,54.580002,54.580002,54.580002,54.580002,46.388348,0
2020-06-19,54.590000,54.590000,54.590000,54.590000,46.396843,0
2020-06-22,55.060001,55.060001,55.060001,55.060001,46.796307,0
2020-06-23,55.340000,55.340000,55.340000,55.340000,47.034279,0
2020-06-24,53.970001,53.970001,53.970001,53.970001,45.869900,0
2020-06-25,54.610001,54.610001,54.610001,54.610001,46.413849,0
2020-06-26,53.230000,53.230000,53.230000,53.230000,45.240963,0
2020-06-29,53.730000,53.730000,53.730000,53.730000,45.665920,0
2020-06-30,54.700001,54.700001,54.700001,54.700001,46.490334,0
2020-07-01,55.480000,55.480000,55.480000,55.480000,47.153267,0
2020-07-02,55.770000,55.770000,55.770000,55.770000,47.399742,0
2020-07-06,56.990002,56.990002,56.990002,56.990002,48.436642,0
2020-07-07,56.540001,56.540001,56.540001,56.540001,48.054180,0
2020-07-08,57.180000,57.180000,57.180000,57.180000,48.598125,0
2020-07-09,57.259998,57.259998,57.259998,57.259998,48.666115,0
2020-07-10,57.930000,57.930000,57.930000,57.930000,49.235561,0
2020-07-13,56.799999,56.799999,56.799999,56.799999,48.275158,0
2020-07-14,57.439999,57.439999,57.439999,57.439999,48.819103,0
2020-07-15,57.799999,57.799999,57.799999,57.799999,49.125072,0
2020-07-16,57.490002,57.490002,57.490002,57.490002,48.861599,0
2020-07-17,57.490002,57.490002,57.490002,57.490002,48.861599,0
2020-07-20,58.700001,58.700001,58.700001,58.700001,49.889999,0
2020-07-21,58.320000,58.320000,58.320000,58.320000,49.567024,0
2020-07-22,58.540001,58.540001,58.540001,58.540001,49.754013,0
2020-07-23,57.470001,57.470001,57.470001,57.470001,48.844601,0
2020-07-24,57.060001,57.060001,57.060001,57.060001,48.496136,0
2020-07-27,57.930000,57.930000,57.930000,57.930000,49.235561,0
2020-07-28,57.320000,57.320000,57.320000,57.320000,48.717113,0
2020-07-29,58.029999,58.029999,58.029999,58.029999,49.320553,0
2020-07-30,57.919998,57.919998,57.919998,57.919998,49.227062,0
2020-07-31,58.090000,58.090000,58.090000,58.090000,49.371548,0
2020-08-03,58.619999,58.619999,58.619999,58.619999,49.821999,0
2020-08-04,58.840000,58.840000,58.840000,58.840000,50.008984,0
2020-08-05,59.209999,59.209999,59.209999,59.209999,50.323448,0
2020-08-06,59.660000,59.660000,59.660000,59.660000,50.705914,0
2020-08-07,59.180000,59.180000,59.180000,59.180000,50.297955,0
2020-08-10,58.820000,58.820000,58.820000,58.820000,49.991985,0
2020-08-11,58.130001,58.130001,58.130001,58.130001,49.405544,0
2020-08-12,59.230000,59.230000,59.230000,59.230000,50.340450,0
2020-08-13,59.450001,59.450001,59.450001,59.450001,50.527435,0
